car,fabricante,motor,combustivel,automatico,ano_fabrica,ano_modelo,km,anunciante,cidade,estado,regiao,preco,latitude,longitude,categoria
FIAT ARGO,FIAT,1,FLEX,0,2018,2019,26000,Pessoa Física,Americana,SP,Sudeste,52900,-22.7374,-47.3331,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2020,11800,Pessoa Física,Petrópolis,RJ,Sudeste,65900,-22.52,-43.1926,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2018,2019,50000,Pessoa Física,Arujá,SP,Sudeste,45000,-23.3965,-46.32,Carro
CHEVROLET TRACKER,CHEVROLET,1,FLEX,1,2021,2021,100,Pessoa Física,São Paulo,SP,Sudeste,177000,-23.5329,-46.6395,SUV
CITROËN C3,CITROEN,1.2,FLEX,0,2018,2019,58000,Pessoa Física,Jundiaí,SP,Sudeste,48900,-23.1852,-46.8974,Carro
FORD KA,FORD,1,FLEX,0,2020,2020,21700,Pessoa Física,Americana,SP,Sudeste,53990,-22.7374,-47.3331,Carro
FORD KA,FORD,1,FLEX,0,2017,2018,86000,Pessoa Física,Itanhaém,SP,Sudeste,42500,-24.1736,-46.788,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,59000,Pessoa Física,Barra Mansa,RJ,Sudeste,60990,-22.5481,-44.1752,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,4850,Pessoa Física,São Paulo,SP,Sudeste,84200,-23.5329,-46.6395,Carro
VOLKSWAGEN FOX,VOLKSWAGEN,1,FLEX,0,2018,2018,12330,Pessoa Física,Salvador,BA,Nordeste,87000,-12.9718,-38.5011,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2019,56000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,44990,-22.9129,-43.2003,Carro
FIAT MOBI,FIAT,1,FLEX,0,2019,2020,53000,Pessoa Física,Niterói,RJ,Sudeste,42900,-22.8832,-43.1034,Carro
FIAT MOBI,FIAT,1,FLEX,0,2017,2018,64356,Pessoa Física,São Paulo,SP,Sudeste,44900,-23.5329,-46.6395,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2019,14500,Pessoa Física,Juiz de Fora,MG,Sudeste,45900,-21.7595,-43.3398,Carro
FORD KA,FORD,1,FLEX,0,2019,2020,32900,Pessoa Física,São Paulo,SP,Sudeste,49990,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2021,13200,Pessoa Física,Campinas,SP,Sudeste,88900,-22.9053,-47.0659,Carro
FIAT MOBI,FIAT,1,FLEX,0,2016,2017,72000,Pessoa Física,Guapiaçu,SP,Sudeste,39990,-20.7959,-49.2172,Carro
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,0,2017,2018,89000,Pessoa Física,Bragança Paulista,SP,Sudeste,54999,-22.9527,-46.5419,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,45000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,44800,-22.9129,-43.2003,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2019,2019,33879,Pessoa Física,Divinópolis,MG,Sudeste,50200,-20.1446,-44.8912,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2019,2019,65000,Pessoa Física,Várzea Grande,MT,Centro-Oeste,52990,-6.54899,-42.248,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2018,2018,56000,Pessoa Física,São Paulo,SP,Sudeste,57990,-23.5329,-46.6395,Carro
FIAT MOBI,FIAT,1,FLEX,0,2017,2018,2390,Pessoa Física,São Paulo,SP,Sudeste,46500,-23.5329,-46.6395,Carro
NISSAN MARCH,NISSAN,1,FLEX,0,2016,2017,20960,Pessoa Física,Itupeva,SP,Sudeste,43000,-23.1526,-47.0593,Carro
FIAT MOBI,FIAT,1,FLEX,0,2019,2020,18900,Pessoa Física,Guaíra,SP,Sudeste,39800,-20.3196,-48.312,Carro
FORD KA,FORD,1,FLEX,0,2017,2018,60000,Pessoa Física,São Paulo,SP,Sudeste,45413,-23.5329,-46.6395,Carro
FORD KA,FORD,1,FLEX,0,2015,2015,99600,Pessoa Física,Florianópolis,SC,Sul,45000,-27.5945,-48.5477,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2014,2015,45000,Pessoa Física,Santo André,SP,Sudeste,41000,-23.6737,-46.5432,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2020,2020,50000,Pessoa Física,Atibaia,SP,Sudeste,63000,-23.1171,-46.5563,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2021,1800,Pessoa Física,Wenceslau Braz,PR,Sul,83000,-22.5368,-45.3626,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2019,58000,Pessoa Física,Ibitinga,SP,Sudeste,44990,-21.7562,-48.8319,Carro
FIAT ARGO,FIAT,1,FLEX,0,2019,2020,56000,Pessoa Física,São Paulo,SP,Sudeste,53000,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2021,2021,35200,Pessoa Física,Pindamonhangaba,SP,Sudeste,74500,-22.9246,-45.4613,Carro
FIAT ARGO,FIAT,1,FLEX,0,2018,2018,66500,Pessoa Física,Santo Antônio de Posse,SP,Sudeste,57000,-22.6029,-46.9192,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2016,2017,96000,Pessoa Física,Curitiba,PR,Sul,46800,-25.4195,-49.2646,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,62000,Pessoa Física,Londrina,PR,Sul,56000,-23.304,-51.1691,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2021,2021,1500,Pessoa Física,Divinolândia de Minas,MG,Sudeste,88000,-18.8004,-42.6103,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2015,2016,86000,Pessoa Física,São Paulo,SP,Sudeste,40000,-23.5329,-46.6395,Carro
VOLKSWAGEN CROSS UP,VOLKSWAGEN,1,FLEX,0,2017,2018,59000,Pessoa Física,Itu,SP,Sudeste,57900,-23.2544,-47.2927,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2020,39000,Pessoa Física,São João da Boa Vista,SP,Sudeste,75000,-21.9707,-46.7944,Carro
VOLKSWAGEN CROSS UP,VOLKSWAGEN,1,FLEX,0,2018,2019,38500,Pessoa Física,São Paulo,SP,Sudeste,78000,-23.5329,-46.6395,Carro
FORD KA +,FORD,1,FLEX,0,2014,2015,160000,Pessoa Física,Itaquaquecetuba,SP,Sudeste,39000,-23.4835,-46.3457,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2020,35000,Pessoa Física,São Paulo,SP,Sudeste,49791,-23.5329,-46.6395,Carro
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2021,2021,100,Pessoa Física,Campinas,SP,Sudeste,184800,-22.9053,-47.0659,SUV
CHEVROLET JOY,CHEVROLET,1,FLEX,0,2020,2020,26000,Pessoa Física,Goiânia,GO,Centro-Oeste,52000,-16.6864,-49.2643,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2018,2019,53000,Pessoa Física,Jundiaí,SP,Sudeste,62000,-23.1852,-46.8974,Carro
FIAT ARGO,FIAT,1,FLEX,0,2019,2020,41300,Pessoa Física,Tremembé,SP,Sudeste,57590,-22.9571,-45.5475,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2017,2018,110740,Pessoa Física,Uberlândia,MG,Sudeste,42800,-18.9141,-48.2749,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2019,2019,22000,Pessoa Física,São Paulo,SP,Sudeste,53900,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2021,11500,Pessoa Física,Sorriso,MT,Centro-Oeste,91500,-12.5425,-55.7211,Carro
VOLKSWAGEN CROSS UP,VOLKSWAGEN,1,FLEX,0,2018,2018,71000,Pessoa Física,São Bernardo do Campo,SP,Sudeste,64990,-23.6914,-46.5646,Carro
CHEVROLET ONIX,CHEVROLET,1.4,FLEX,0,2017,2018,47500,Pessoa Física,São Paulo,SP,Sudeste,53500,-23.5329,-46.6395,Carro
FIAT MOBI,FIAT,1,FLEX,0,2017,2018,60000,Pessoa Física,Araxá,MG,Sudeste,39500,-19.5902,-46.9438,Carro
FORD KA,FORD,1,FLEX,0,2020,2021,21500,Pessoa Física,Rio de Janeiro,RJ,Sudeste,53900,-22.9129,-43.2003,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2019,2019,92000,Pessoa Física,Franca,SP,Sudeste,47800,-20.5352,-47.4039,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2021,13000,Pessoa Física,Dois Irmãos,RS,Sul,84900,-29.5836,-51.0898,Carro
FIAT MOBI,FIAT,1,FLEX,0,2018,2019,45300,Pessoa Física,São Paulo,SP,Sudeste,43300,-23.5329,-46.6395,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,94000,Pessoa Física,Nova Odessa,SP,Sudeste,43900,-22.7832,-47.2941,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2016,2017,71344,Pessoa Física,Recife,PE,Nordeste,41990,-8.04666,-34.8771,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2017,2017,91000,Pessoa Física,Uberlândia,MG,Sudeste,45900,-18.9141,-48.2749,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,75000,Pessoa Física,Niterói,RJ,Sudeste,52000,-22.8832,-43.1034,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2020,37000,Pessoa Física,Guarulhos,SP,Sudeste,63990,-23.4538,-46.5333,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,14900,Pessoa Física,Conchal,SP,Sudeste,79990,-22.3375,-47.1729,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,21640,Pessoa Física,Magé,RJ,Sudeste,76000,-22.6632,-43.0315,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2020,13000,Pessoa Física,Rio Claro,SP,Sudeste,51000,-22.72,-44.1419,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,16514,Pessoa Física,Itabira,MG,Sudeste,83900,-19.6239,-43.2312,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,67000,Pessoa Física,Santo André,SP,Sudeste,56000,-23.6737,-46.5432,Carro
FIAT MOBI,FIAT,1,FLEX,0,2021,2022,100,Pessoa Física,Recife,PE,Nordeste,57500,-8.04666,-34.8771,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2020,54000,Pessoa Física,Ribeirão Preto,SP,Sudeste,51900,-21.1699,-47.8099,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2016,2017,84000,Pessoa Física,Juiz de Fora,MG,Sudeste,45000,-21.7595,-43.3398,Carro
FORD KA,FORD,1,FLEX,0,2019,2019,20150,Pessoa Física,São Paulo,SP,Sudeste,50500,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2016,2017,86000,Pessoa Física,Arapongas,PR,Sul,46900,-23.4153,-51.4259,Carro
FORD KA,FORD,1,FLEX,0,2019,2019,52000,Pessoa Física,Santana de Parnaíba,SP,Sudeste,46900,-23.4439,-46.9178,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2021,2022,300,Pessoa Física,São Bernardo do Campo,SP,Sudeste,58900,-23.6914,-46.5646,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2017,2018,73000,Pessoa Física,São Vicente,SP,Sudeste,43990,-23.9574,-46.3883,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2016,2016,88000,Pessoa Física,São Paulo,SP,Sudeste,41000,-23.5329,-46.6395,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2020,35685,Pessoa Física,Santo André,SP,Sudeste,62000,-23.6737,-46.5432,Carro
FORD KA +,FORD,1,FLEX,0,2018,2018,77000,Pessoa Física,Mirassol,SP,Sudeste,44800,-20.8169,-49.5206,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2020,32000,Pessoa Física,Goiânia,GO,Centro-Oeste,67900,-16.6864,-49.2643,Carro
FORD KA,FORD,1,FLEX,0,2016,2017,178000,Pessoa Física,Jacareí,SP,Sudeste,39500,-23.2983,-45.9658,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2020,40000,Pessoa Física,Ourinhos,SP,Sudeste,43400,-22.9797,-49.8697,Carro
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,0,2017,2018,24000,Pessoa Física,São Paulo,SP,Sudeste,56000,-23.5329,-46.6395,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2018,2019,40614,Pessoa Física,São Paulo,SP,Sudeste,52900,-23.5329,-46.6395,Carro
FORD KA +,FORD,1,FLEX,0,2017,2018,100000,Pessoa Física,Sorocaba,SP,Sudeste,44100,-23.4969,-47.4451,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2020,2020,20000,Pessoa Física,Santos,SP,Sudeste,69000,-23.9535,-46.335,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2017,2018,53500,Pessoa Física,Bragança Paulista,SP,Sudeste,51490,-22.9527,-46.5419,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2018,2019,60000,Pessoa Física,Rio Verde,GO,Centro-Oeste,52000,-17.7923,-50.9192,Carro
FORD KA,FORD,1,FLEX,0,2018,2018,17820,Pessoa Física,Bauru,SP,Sudeste,38500,-22.3246,-49.0871,Carro
NISSAN MARCH,NISSAN,1,FLEX,0,2016,2016,52000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,29990,-22.9129,-43.2003,Carro
FIAT ARGO,FIAT,1,FLEX,0,2019,2019,25900,Pessoa Física,São Paulo,SP,Sudeste,47500,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2019,2019,22000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,41000,-22.9129,-43.2003,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2019,2019,31000,Pessoa Física,Campo Grande,MS,Centro-Oeste,46500,-9.95542,-36.7926,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,18000,Pessoa Física,Boituva,SP,Sudeste,66470,-23.2855,-47.6786,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2014,2015,70100,Pessoa Física,Belo Jardim,PE,Nordeste,34690,-8.3313,-36.4258,Carro
FORD KA,FORD,1,FLEX,0,2017,2018,28300,Pessoa Física,Rio de Janeiro,RJ,Sudeste,38200,-22.9129,-43.2003,Carro
FORD KA,FORD,1,FLEX,0,2014,2015,78000,Pessoa Física,Londrina,PR,Sul,35999,-23.304,-51.1691,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2020,23000,Pessoa Física,Jijoca de Jericoacoara,CE,Nordeste,36000,-2.79331,-40.5127,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1.6,FLEX,0,2016,2017,25000,Pessoa Física,São Paulo,SP,Sudeste,45000,-23.5329,-46.6395,Carro
FIAT MOBI,FIAT,1,FLEX,0,2016,2017,40000,Pessoa Física,Foz do Iguaçu,PR,Sul,33000,-25.5427,-54.5827,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2018,2019,30000,Pessoa Física,Petrópolis,RJ,Sudeste,46000,-22.52,-43.1926,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,21770,Pessoa Física,Jundiaí,SP,Sudeste,78000,-23.1852,-46.8974,Carro
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,1,2017,2018,47000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,58900,-22.9129,-43.2003,Carro
FORD KA +,FORD,1,FLEX,0,2018,2019,26200,Pessoa Física,São Paulo,SP,Sudeste,46500,-23.5329,-46.6395,Carro
NISSAN MARCH,NISSAN,1,FLEX,0,2017,2017,66190,Pessoa Física,São João de Meriti,RJ,Sudeste,37900,-22.8058,-43.3729,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,13540,Pessoa Física,Rio de Janeiro,RJ,Sudeste,76500,-22.9129,-43.2003,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,5300,Pessoa Física,Goiânia,GO,Centro-Oeste,77000,-16.6864,-49.2643,Carro
FORD KA,FORD,1,FLEX,0,2017,2018,45000,Pessoa Física,Campinas,SP,Sudeste,39000,-22.9053,-47.0659,Carro
FORD KA,FORD,1,FLEX,0,2019,2020,14650,Pessoa Física,Belo Horizonte,MG,Sudeste,47900,-19.9102,-43.9266,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2018,2019,39100,Pessoa Física,São Paulo,SP,Sudeste,53900,-23.5329,-46.6395,Carro
CHEVROLET PRISMA,CHEVROLET,1,FLEX,0,2018,2018,147467,Pessoa Física,Niterói,RJ,Sudeste,38000,-22.8832,-43.1034,Carro
FORD KA,FORD,1,FLEX,0,2018,2018,54500,Pessoa Física,Cotia,SP,Sudeste,39900,-23.6022,-46.919,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2018,2018,30000,Pessoa Física,São Paulo,SP,Sudeste,48880,-23.5329,-46.6395,Carro
BMW 330e,BMW,2,HIBRIDO,1,2020,2020,7000,Pessoa Física,São Paulo,SP,Sudeste,315000,-23.5329,-46.6395,Carro
NISSAN MARCH,NISSAN,1,FLEX,0,2015,2016,78664,Pessoa Física,São Paulo,SP,Sudeste,36000,-23.5329,-46.6395,Carro
FORD KA,FORD,1,FLEX,0,2017,2018,50000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,40000,-22.9129,-43.2003,Carro
FORD KA,FORD,1,FLEX,0,2020,2020,74742,Pessoa Física,São Paulo,SP,Sudeste,49000,-23.5329,-46.6395,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2017,2018,67000,Pessoa Física,São Vicente,SP,Sudeste,50000,-23.9574,-46.3883,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2020,34500,Pessoa Física,Belo Horizonte,MG,Sudeste,44900,-19.9102,-43.9266,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2018,2018,86000,Pessoa Física,Guarulhos,SP,Sudeste,44000,-23.4538,-46.5333,Carro
NISSAN MARCH,NISSAN,1,FLEX,0,2019,2019,32500,Pessoa Física,Santos,SP,Sudeste,46500,-23.9535,-46.335,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2016,2016,222000,Pessoa Física,Sumaré,SP,Sudeste,31000,-22.8204,-47.2728,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2018,2018,68000,Pessoa Física,São João de Meriti,RJ,Sudeste,35900,-22.8058,-43.3729,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2020,2021,3800,Pessoa Física,São Paulo,SP,Sudeste,77000,-23.5329,-46.6395,Carro
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2020,2021,4000,Pessoa Física,São Paulo,SP,Sudeste,139000,-23.5329,-46.6395,SUV
FIAT MOBI,FIAT,1,FLEX,0,2018,2018,48000,Pessoa Física,Belford Roxo,RJ,Sudeste,37500,-22.764,-43.3992,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2014,2015,145000,Pessoa Física,São Paulo,SP,Sudeste,36500,-23.5329,-46.6395,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2021,2021,7600,Pessoa Física,Taboão da Serra,SP,Sudeste,74900,-23.6019,-46.7526,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2018,2018,19500,Pessoa Física,São Paulo,SP,Sudeste,40500,-23.5329,-46.6395,Carro
FORD KA,FORD,1,FLEX,0,2018,2019,35957,Pessoa Física,Sorocaba,SP,Sudeste,45900,-23.4969,-47.4451,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2022,2022,900,Pessoa Física,São Paulo,SP,Sudeste,78000,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,16000,Pessoa Física,Itatiba,SP,Sudeste,83500,-23.0035,-46.8464,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2018,2018,45000,Pessoa Física,Belo Horizonte,MG,Sudeste,42900,-19.9102,-43.9266,Carro
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2020,2021,7520,Pessoa Física,Mogi das Cruzes,SP,Sudeste,132900,-23.5208,-46.1854,SUV
FORD KA,FORD,1,FLEX,0,2019,2020,29810,Pessoa Física,São Paulo,SP,Sudeste,49700,-23.5329,-46.6395,Carro
BMW 330e,BMW,2,HIBRIDO,1,2020,2020,6400,Pessoa Física,Belo Horizonte,MG,Sudeste,314900,-19.9102,-43.9266,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2017,2018,45000,Pessoa Física,São Paulo,SP,Sudeste,37880,-23.5329,-46.6395,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2018,2019,25600,Pessoa Física,Boituva,SP,Sudeste,59900,-23.2855,-47.6786,Carro
FIAT ARGO,FIAT,1,FLEX,0,2018,2018,88000,Pessoa Física,Guapiaçu,SP,Sudeste,51890,-20.7959,-49.2172,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2020,20000,Pessoa Física,Rio de Janeiro,RJ,Sudeste,42900,-22.9129,-43.2003,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,54301,Pessoa Física,São Paulo,SP,Sudeste,47455,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,7000,Pessoa Física,São Paulo,SP,Sudeste,80000,-23.5329,-46.6395,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2018,2019,24200,Pessoa Física,Atibaia,SP,Sudeste,44500,-23.1171,-46.5563,Carro
HYUNDAI CRETA,HYUNDAI,2,FLEX,1,2017,2017,66220,Loja,Guarulhos,SP,Sudeste,92990,-23.4538,-46.5333,SUV
CHEVROLET TRACKER,CHEVROLET,1.4,FLEX,1,2017,2018,28906,Loja,São Paulo,SP,Sudeste,88900,-23.5329,-46.6395,SUV
RENAULT CAPTUR,RENAULT,1.6,FLEX,1,2018,2018,29000,Loja,Jundiaí,SP,Sudeste,76900,-23.1852,-46.8974,Carro
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1,FLEX,1,2020,2020,10300,Concessionária,Santos,SP,Sudeste,105990,-23.9535,-46.335,SUV
CHERY TIGGO 5x,CHERY,1.5,FLEX,1,2019,2020,12600,Loja,São Paulo,SP,Sudeste,112890,-23.5329,-46.6395,SUV
TOYOTA COROLLA CROSS,TOYOTA,2,FLEX,1,2021,2022,900,Concessionária,Curitiba,PR,Sul,162900,-25.4195,-49.2646,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,0,2017,2017,47000,Loja,São Paulo,SP,Sudeste,70900,-23.5329,-46.6395,SUV
FORD ECOSPORT,FORD,1.5,FLEX,1,2020,2020,8258,Loja,São Paulo,SP,Sudeste,83400,-23.5329,-46.6395,SUV
FORD ECOSPORT,FORD,1.5,FLEX,1,2021,2021,3000,Loja,São Paulo,SP,Sudeste,91900,-23.5329,-46.6395,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2015,2016,95000,Loja,Valinhos,SP,Sudeste,85990,-22.9698,-46.9974,SUV
PEUGEOT 2008,PEUGEOT,1.6,FLEX,1,2019,2019,23000,Loja,Santos,SP,Sudeste,79990,-23.9535,-46.335,SUV
CHERY TIGGO 2,CHERY,1.5,FLEX,1,2020,2020,1750,Loja,Bauru,SP,Sudeste,75900,-22.3246,-49.0871,SUV
CHERY TIGGO 5x,CHERY,1.5,FLEX,1,2019,2020,7800,Loja,Rio de Janeiro,RJ,Sudeste,98900,-22.9129,-43.2003,SUV
FIAT DOBLÒ,FIAT,1.8,FLEX,0,2019,2020,52014,Concessionária,Jaú,SP,Sudeste,71900,-22.2936,-48.5592,Minivan
JEEP RENEGADE,JEEP,1.8,FLEX,1,2019,2020,21327,Loja,São Paulo,SP,Sudeste,107890,-23.5329,-46.6395,SUV
HYUNDAI CRETA,HYUNDAI,2,FLEX,1,2017,2017,54034,Loja,São Paulo,SP,Sudeste,91890,-23.5329,-46.6395,SUV
HYUNDAI TUCSON,HYUNDAI,2,GASOLINA,1,2009,2010,152052,Loja,São Paulo,SP,Sudeste,38900,-23.5329,-46.6395,SUV
FORD ECOSPORT,FORD,1.6,FLEX,0,2016,2017,22655,Loja,Rio de Janeiro,RJ,Sudeste,64980,-22.9129,-43.2003,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2016,2016,72191,Loja,São Paulo,SP,Sudeste,88890,-23.5329,-46.6395,SUV
RENAULT DUSTER,RENAULT,1.6,FLEX,1,2018,2019,44376,Concessionária,São Paulo,SP,Sudeste,71500,-23.5329,-46.6395,SUV
JEEP RENEGADE,JEEP,1.8,FLEX,0,2017,2018,76000,Loja,São Paulo,SP,Sudeste,71900,-23.5329,-46.6395,SUV
FORD ECOSPORT,FORD,1.5,FLEX,1,2017,2018,44000,Loja,Cerquilho,SP,Sudeste,69900,-23.1665,-47.7459,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2010,2011,92500,Loja,Campo Grande,MS,Centro-Oeste,23500,-9.95542,-36.7926,Carro
FORD ECOSPORT,FORD,1.5,FLEX,1,2019,2019,38000,Loja,Paulicéia,SP,Sudeste,75000,-21.3153,-51.8321,SUV
RENAULT DUSTER,RENAULT,2,FLEX,1,2016,2017,44200,Loja,Timbó,SC,Sul,66800,-26.8246,-49.269,SUV
FORD ECOSPORT,FORD,1.5,FLEX,1,2018,2019,63000,Concessionária,Valinhos,SP,Sudeste,74990,-22.9698,-46.9974,SUV
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1,FLEX,1,2020,2020,13000,Concessionária,Blumenau,SC,Sul,111900,-26.9155,-49.0709,SUV
HYUNDAI CRETA,HYUNDAI,2,FLEX,1,2018,2019,27900,Loja,Recife,PE,Nordeste,102900,-8.04666,-34.8771,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2018,2019,30819,Loja,Campinas,SP,Sudeste,44900,-22.9053,-47.0659,Carro
JEEP RENEGADE,JEEP,2,DIESEL,1,2017,2017,58749,Loja,São Paulo,SP,Sudeste,104890,-23.5329,-46.6395,SUV
VOLKSWAGEN NIVUS,VOLKSWAGEN,1,FLEX,1,2021,2021,3800,Loja,Juiz de Fora,MG,Sudeste,121900,-21.7595,-43.3398,SUV
CHEVROLET COBALT,CHEVROLET,1.8,FLEX,1,2014,2015,72369,Loja,Juiz de Fora,MG,Sudeste,44900,-21.7595,-43.3398,Carro
TOYOTA ETIOS,TOYOTA,1.5,FLEX,1,2019,2019,36000,Loja,Joinville,SC,Sul,66900,-26.3045,-48.8487,Carro
CHEVROLET COBALT,CHEVROLET,1.8,FLEX,1,2017,2017,19650,Loja,Curitiba,PR,Sul,64990,-25.4195,-49.2646,Carro
HONDA HR-V,HONDA,1.8,FLEX,1,2017,2018,59355,Loja,Catanduva,SP,Sudeste,99900,-21.1314,-48.977,SUV
