car,fabricante,motor,combustivel,automatico,ano_fabrica,ano_modelo,km,anunciante,cidade,estado,regiao,preco,latitude,longitude,categoria
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2019,25186,Pessoa Física,Campo Bom,RS,Sul,44000,-29.6747,-51.0606,Carro
FIAT ARGO,FIAT,1,FLEX,0,2018,2019,20370,Pessoa Física,Caraguatatuba,SP,Sudeste,53000,-23.6125,-45.4125,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2019,2020,13486,Pessoa Física,São Paulo,SP,Sudeste,65000,-23.5329,-46.6395,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2017,2017,122500,Pessoa Física,Itapetininga,SP,Sudeste,36900,-23.5886,-48.0483,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2014,2015,60700,Pessoa Física,Balneário Camboriú,SC,Sul,39700,-26.9926,-48.6352,Carro
FORD KA,FORD,1,FLEX,0,2020,2020,44503,Pessoa Física,São Paulo,SP,Sudeste,41500,-23.5329,-46.6395,Carro
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2020,2021,7500,Pessoa Física,Caldas Novas,GO,Centro-Oeste,131900,-17.7441,-48.6246,SUV
RENAULT KWID,RENAULT,1,FLEX,0,2019,2020,40637,Pessoa Física,Rio das Ostras,RJ,Sudeste,40900,-22.5174,-41.9475,Carro
PEUGEOT 208,PEUGEOT,1.6,FLEX,1,2017,2018,39100,Pessoa Física,São Paulo,SP,Sudeste,64100,-23.5329,-46.6395,Carro
FORD KA,FORD,1,FLEX,0,2015,2015,118,Pessoa Física,Cuiabá,MT,Centro-Oeste,32500,-15.601,-56.0974,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2021,2021,2500,Pessoa Física,Piedade,SP,Sudeste,78500,-23.7139,-47.4256,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2016,2016,59000,Pessoa Física,Natal,RN,Nordeste,40000,-5.79357,-35.1986,Carro
FORD KA,FORD,1,FLEX,0,2019,2019,43000,Pessoa Física,Uberaba,MG,Sudeste,35000,-19.7472,-47.9381,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2020,2020,11500,Pessoa Física,Limeira,SP,Sudeste,72000,-22.566,-47.397,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2019,2019,30486,Pessoa Física,Fortaleza,CE,Nordeste,51900,-3.71664,-38.5423,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2021,2021,5800,Pessoa Física,Brasília,DF,Centro-Oeste,86900,-15.7795,-47.9297,Carro
FORD KA,FORD,1,FLEX,0,2019,2019,22000,Pessoa Física,São Paulo,SP,Sudeste,49900,-23.5329,-46.6395,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2020,2021,7500,Pessoa Física,São Paulo,SP,Sudeste,50900,-23.5329,-46.6395,Carro
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2018,2019,59000,Pessoa Física,Cuiabá,MT,Centro-Oeste,44990,-15.601,-56.0974,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2020,2020,12000,Pessoa Física,Chapecó,SC,Sul,51990,-27.1004,-52.6152,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2020,2021,8000,Pessoa Física,Rio Verde,GO,Centro-Oeste,52000,-17.7923,-50.9192,Carro
CITROËN C3,CITROEN,1.2,FLEX,0,2018,2019,20000,Pessoa Física,Peruíbe,SP,Sudeste,50000,-24.312,-47.0012,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2021,3500,Pessoa Física,Belo Horizonte,MG,Sudeste,89900,-19.9102,-43.9266,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2020,2021,4850,Pessoa Física,Poços de Caldas,MG,Sudeste,64000,-21.78,-46.5692,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2019,2020,16000,Pessoa Física,São Paulo,SP,Sudeste,70900,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2020,2020,12000,Pessoa Física,São João do Sul,SC,Sul,69000,-29.2154,-49.8094,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2019,2020,15500,Pessoa Física,Curitiba,PR,Sul,62500,-25.4195,-49.2646,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,17518,Pessoa Física,Uberlândia,MG,Sudeste,86000,-18.9141,-48.2749,Carro
FIAT ARGO,FIAT,1.3,FLEX,0,2020,2020,22000,Pessoa Física,Bezerros,PE,Nordeste,65000,-8.2328,-35.796,Carro
FIAT ARGO,FIAT,1,FLEX,0,2017,2018,145000,Pessoa Física,Brasília,DF,Centro-Oeste,46500,-15.7795,-47.9297,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2021,2021,7400,Pessoa Física,Curitiba,PR,Sul,80000,-25.4195,-49.2646,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2019,9000,Pessoa Física,Vargem Grande Paulista,SP,Sudeste,47000,-23.5993,-47.022,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2016,2017,35000,Pessoa Física,São Paulo,SP,Sudeste,44990,-23.5329,-46.6395,Carro
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2020,2021,13900,Pessoa Física,Porto Alegre,RS,Sul,125500,-30.0318,-51.2065,SUV
HYUNDAI HB20,HYUNDAI,1,FLEX,0,2018,2019,65000,Pessoa Física,Brasília,DF,Centro-Oeste,47000,-15.7795,-47.9297,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,15000,Pessoa Física,Curitiba,PR,Sul,78900,-25.4195,-49.2646,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2017,2017,44000,Pessoa Física,Juiz de Fora,MG,Sudeste,42000,-21.7595,-43.3398,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2020,2020,15000,Pessoa Física,Porto Alegre,RS,Sul,80000,-30.0318,-51.2065,Carro
VOLKSWAGEN UP,VOLKSWAGEN,1,FLEX,0,2017,2018,56000,Pessoa Física,Taboão da Serra,SP,Sudeste,52500,-23.6019,-46.7526,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,19000,Pessoa Física,Mogi Guaçu,SP,Sudeste,90000,-22.3675,-46.9428,Carro
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,1,2016,2017,48000,Pessoa Física,Porto Alegre,RS,Sul,57000,-30.0318,-51.2065,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2017,2017,153500,Pessoa Física,Birigui,SP,Sudeste,39999,-21.291,-50.3432,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2018,2019,23567,Pessoa Física,Florianópolis,SC,Sul,46500,-27.5945,-48.5477,Carro
FIAT UNO,FIAT,1,FLEX,0,2016,2017,49000,Pessoa Física,Belo Horizonte,MG,Sudeste,39000,-19.9102,-43.9266,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2018,2019,20200,Pessoa Física,São Paulo,SP,Sudeste,42000,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,37847,Pessoa Física,São Paulo,SP,Sudeste,84000,-23.5329,-46.6395,Carro
FORD KA,FORD,1,FLEX,0,2015,2015,199999,Pessoa Física,Curitiba,PR,Sul,32900,-25.4195,-49.2646,Carro
FORD KA,FORD,1,FLEX,0,2016,2017,113879,Pessoa Física,Campinas,SP,Sudeste,38000,-22.9053,-47.0659,Carro
FIAT ARGO,FIAT,1,FLEX,0,2021,2021,2990,Pessoa Física,Campinas,SP,Sudeste,59990,-22.9053,-47.0659,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2017,2018,41300,Pessoa Física,São Paulo,SP,Sudeste,51900,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2020,2020,19800,Pessoa Física,Araraquara,SP,Sudeste,83500,-21.7845,-48.178,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2016,2017,116000,Pessoa Física,Matozinhos,MG,Sudeste,37500,-19.5543,-44.0868,Carro
FORD KA,FORD,1,FLEX,0,2016,2017,190000,Pessoa Física,São Bernardo do Campo,SP,Sudeste,36900,-23.6914,-46.5646,Carro
RENAULT KWID,RENAULT,1,FLEX,0,2019,2020,11200,Pessoa Física,São Lourenço da Mata,PE,Nordeste,49990,-8.00684,-35.0124,Carro
PEUGEOT 208,PEUGEOT,1.2,FLEX,0,2017,2018,77000,Pessoa Física,Santo André,SP,Sudeste,39000,-23.6737,-46.5432,Carro
FORD KA,FORD,1,FLEX,0,2018,2019,28170,Pessoa Física,Araras,SP,Sudeste,48500,-22.3572,-47.3842,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,1,2019,2020,12800,Pessoa Física,Maringá,PR,Sul,89000,-23.4205,-51.9333,Carro
NISSAN MARCH,NISSAN,1,FLEX,0,2017,2018,19500,Pessoa Física,Curitiba,PR,Sul,46700,-25.4195,-49.2646,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2020,58000,Pessoa Física,Salvador,BA,Nordeste,44600,-12.9718,-38.5011,Carro
FORD KA,FORD,1,FLEX,0,2016,2017,83000,Pessoa Física,Maringá,PR,Sul,42000,-23.4205,-51.9333,Carro
FIAT MOBI,FIAT,1,FLEX,0,2019,2020,29900,Pessoa Física,Salvador,BA,Nordeste,42990,-12.9718,-38.5011,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2014,2015,42500,Pessoa Física,São Caetano do Sul,SP,Sudeste,41900,-23.6229,-46.5548,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2019,2019,11600,Pessoa Física,Rio de Janeiro,RJ,Sudeste,47800,-22.9129,-43.2003,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2020,2021,8000,Pessoa Física,Belo Horizonte,MG,Sudeste,75900,-19.9102,-43.9266,Carro
PEUGEOT 208,PEUGEOT,1.6,FLEX,1,2021,2022,100,Pessoa Física,São Paulo,SP,Sudeste,85000,-23.5329,-46.6395,Carro
FORD KA,FORD,1,FLEX,0,2015,2015,82000,Pessoa Física,Rancharia,SP,Sudeste,36500,-22.2269,-50.893,Carro
CHEVROLET PRISMA,CHEVROLET,1.4,FLEX,1,2017,2018,61600,Pessoa Física,Avaré,SP,Sudeste,63000,-23.1067,-48.9251,Carro
VOLKSWAGEN GOL,VOLKSWAGEN,1,FLEX,0,2016,2017,28000,Pessoa Física,São Paulo,SP,Sudeste,45000,-23.5329,-46.6395,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2017,2018,36000,Pessoa Física,Quirinópolis,GO,Centro-Oeste,45500,-18.4472,-50.4547,Carro
CHEVROLET ONIX,CHEVROLET,1,FLEX,0,2018,2018,104000,Pessoa Física,Brasília,DF,Centro-Oeste,41200,-15.7795,-47.9297,Carro
CHEVROLET TRACKER,CHEVROLET,1.2,FLEX,1,2020,2021,9750,Pessoa Física,Campo Mourão,PR,Sul,119000,-24.0463,-52.378,SUV
